Unnamed: 0,L1,L2,L3,Counterion,Abbreviation_in_the_article,Charge,Max_wavelength(nm),PLQY,tau(s*10^-6),Solvent,DOI,Notes
367,O=[N+]([O-])C1=C[C-]=C(C2=NC3=C4C=CC=CC4=C4C=CC=CC4=C3N2C2=CC=CC=C2)C=C1,O=[N+]([O-])C1=C[C-]=C(C2=NC3=C4C=CC=CC4=C4C=CC=CC4=C3N2C2=CC=CC=C2)C=C1,C1=CC=C(N2C(C3=CC=CC=N3)=NC3=C4C=CC=CC4=C4C=CC=CC4=C32)C=C1,F[P-](F)(F)(F)(F)F,6,1.0,580.0,0.045,2.2,CH2Cl2,10.1039/D0DT00568A,
368,[C-]1=CC=CC2=C1C1=NC3=CC=CC=C3N=C1C1=CC=CC=C21,[C-]1=CC=CC2=C1C1=NC3=CC=CC=C3N=C1C1=CC=CC=C21,C1=CC=C2N=C(C3=CC=C4C=CC=CC4=N3)C=CC2=C1,F[P-](F)(F)(F)(F)F,NIRex,1.0,634.0,0.17,3.28,CH3CN,10.1039/D0TC02805C,
369,[C-]1=C(C2=NC3=CC=CC=C3C3=CC=CC=C23)SC2=CC=CC=C12,[C-]1=C(C2=NC3=CC=CC=C3C3=CC=CC=C23)SC2=CC=CC=C12,[O-]C1=CC=CC2=CC=CN=C12,,1,0.0,711.0,0.36,2.0,THF,10.1039/D0CC02745F,
370,[C-]1=C(C2=NC3=CC=CC=C3C3=CC=CC=C23)SC2=CC=CC=C12,[C-]1=C(C2=NC3=CC=CC=C3C3=CC=CC=C23)SC2=CC=CC=C12,O=C([O-])C1=CC=CC2=CC=CN=C12,,2,0.0,724.0,0.3,1.7,THF,10.1039/D0CC02745F,
371,[C-]1=C(C2=NC3=CC=CC=C3C3=CC=CC=C23)SC2=CC=CC=C12,[C-]1=C(C2=NC3=CC=CC=C3C3=CC=CC=C23)SC2=CC=CC=C12,[O-]C1=CC=CC2=CC=C3C=CC=NC3=C12,,3,0.0,723.0,0.28,1.5,THF,10.1039/D0CC02745F,
372,[C-]1=C(C2=NC3=CC=CC=C3C3=CC=CC=C23)SC2=CC=CC=C12,[C-]1=C(C2=NC3=CC=CC=C3C3=CC=CC=C23)SC2=CC=CC=C12,C1=C[N-]C(C2=CC=CC3=CC=CN=C23)=C1,,4,0.0,729.0,0.042,1.0,THF,10.1039/D0CC02745F,
373,[C-]1=C(C2=NC3=CC=CC=C3C3=CC=CC=C23)SC2=CC=CC=C12,[C-]1=C(C2=NC3=CC=CC=C3C3=CC=CC=C23)SC2=CC=CC=C12,O=C([N-]C1=CC=CC=C1)C1=CC=CC2=CC=CN=C12,,5,0.0,716.0,0.34,1.6,THF,10.1039/D0CC02745F,
374,[C-]1=C(C2=CC(C3=CC=CC=C3)=C3C=CC=CC3=N2)SC2=CC=CC=C12,[C-]1=C(C2=CC(C3=CC=CC=C3)=C3C=CC=CC3=N2)SC2=CC=CC=C12,O=C([O-])C1=CC=CC=N1,,Ir2,0.0,666.0,0.51,2.04,CH2Cl2,10.1039/C9TC06813A,
375,CCOC(=O)C1=CC(C2=[C-]C3=CC=CC=C3S2)=NC2=CC=CC=C12,CCOC(=O)C1=CC(C2=[C-]C3=CC=CC=C3S2)=NC2=CC=CC=C12,O=C([O-])C1=CC=CC=N1,,Ir3,0.0,749.0,0.01,0.079,CH2Cl2,10.1039/C9TC06813A,
376,FC(F)(F)C1=CC(C2=[C-]C3=CC=CC=C3S2)=NC2=CC=CC=C12,FC(F)(F)C1=CC(C2=[C-]C3=CC=CC=C3S2)=NC2=CC=CC=C12,O=C([O-])C1=CC=CC=N1,,Ir4,0.0,716.0,0.12,1.39,CH2Cl2,10.1039/C9TC06813A,
377,N#CC1=CN=C(C2=[C-]C=CC=C2)C2=CC=CC=C12,N#CC1=CN=C(C2=[C-]C=CC=C2)C2=CC=CC=C12,CC(=O)/C=C(/C)[O-],,CNIr,0.0,696.0,0.16,0.14,THF,10.1039/C9SC05492H,
378,N#CC1=CN=C(C2=[C-]C=CS2)C2=CC=CC=C12,N#CC1=CN=C(C2=[C-]C=CS2)C2=CC=CC=C12,CC(=O)/C=C(/C)[O-],,TCNIr,0.0,708.0,0.06,0.15,THF,10.1039/C9SC05492H,
379,FC1=C[C-]=C(C2=CC=CC=N2)C=C1,FC1=C[C-]=C(C2=CC=CC=N2)C=C1,C1=CC=C(C2=CC=CC=N2)N=C1,F[P-](F)(F)(F)(F)F,Ir1,1.0,542.0,0.125,1.14,CH2Cl2,10.1016/j.tet.2019.130686,
380,FC1=CC=C(C2=[C-]C=CC=C2)N=C1,FC1=CC=C(C2=[C-]C=CC=C2)N=C1,C1=CC=C(C2=CC=CC=N2)N=C1,F[P-](F)(F)(F)(F)F,Ir2,1.0,567.0,0.112,0.69,CH2Cl2,10.1016/j.tet.2019.130686,
381,FC1=C[C-]=C(C2=CC=C(F)C=N2)C=C1,FC1=C[C-]=C(C2=CC=C(F)C=N2)C=C1,C1=CC=C(C2=CC=CC=N2)N=C1,F[P-](F)(F)(F)(F)F,Ir3,1.0,534.0,0.286,1.23,CH2Cl2,10.1016/j.tet.2019.130686,
382,FC1=C[C-]=C(C2=CC=CC=N2)C(F)=C1,FC1=C[C-]=C(C2=CC=CC=N2)C(F)=C1,C1=CC=C(C2=CC=CC=N2)N=C1,F[P-](F)(F)(F)(F)F,Ir4,1.0,514.0,0.508,1.29,CH2Cl2,10.1016/j.tet.2019.130686,
383,FC1=[C-]C(C2=CC=CC=N2)=CC(F)=C1F,FC1=[C-]C(C2=CC=CC=N2)=CC(F)=C1F,C1=CC=C(C2=CC=CC=N2)N=C1,F[P-](F)(F)(F)(F)F,Ir5,1.0,524.0,0.379,1.01,CH2Cl2,10.1016/j.tet.2019.130686,
384,[C-]1=CC=CC=C1C1=CC=CC=N1,[C-]1=CC=CC=C1C1=CC=CC=N1,C/C(=C/C(C)=N/C1=CC=CC=C1)[N-]C1=CC=CC=C1,,1,0.0,595.0,0.053,0.2,CH3CN,10.1021/acscatal.9b02759,
385,[C-]1=CC=CC=C1C1=CC=CC=N1,[C-]1=CC=CC=C1C1=CC=CC=N1,CN(C)C(/C=C(\[N-]C1=CC=CC=C1)N(C)C)=N\C1=CC=CC=C1,,2,0.0,634.0,0.16,0.76,CH3CN,10.1021/acscatal.9b02759,
386,[C-]1=CC=CC=C1C1=CC=CC=N1,[C-]1=CC=CC=C1C1=CC=CC=N1,CCOC(/C=C(\[N-]C1=CC=CC=C1)OCC)=N\C1=CC=CC=C1,,3,0.0,571.0,0.23,2.0,CH3CN,10.1021/acscatal.9b02759,
387,[C-]1=CC=CC=C1C1=CC=CC=N1,[C-]1=CC=CC=C1C1=CC=CC=N1,COC1=CC=C(/N=C(C)/C=C(/C)[N-]C2=CC=C(OC)C=C2)C=C1,,4,0.0,576.0,0.021,0.52,CH3CN,10.1021/acscatal.9b02759,
388,[C-]1=CC=CC=C1C1=CC=CC=N1,[C-]1=CC=CC=C1C1=CC=CC=N1,C/C(=C/C(C)=N/C1=C(C)C=CC=C1C)[N-]C1=C(C)C=CC=C1C,,6,0.0,605.0,0.18,0.53,CH3CN,10.1021/acscatal.9b02759,
389,[C-]1=CC=CC=C1C1=CC=CC=N1,[C-]1=CC=CC=C1C1=CC=CC=N1,C/C([N-]C1=C(C)C=CC=C1C)=C(C)/C(C)=N/C1=C(C)C=CC=C1C,,7,0.0,623.0,0.012,0.63,THF,10.1021/acscatal.9b02759,
390,[C-]1=CC=CC=C1C1=CC=CC=N1,[C-]1=CC=CC=C1C1=CC=CC=N1,CO/N=C(C)/C=C(/C)[N-]OC,,8,0.0,632.0,0.022,0.4,CH3CN,10.1021/acscatal.9b02759,
391,[C-]1=CC=CC=C1C1=CC=CC=N1,[C-]1=CC=CC=C1C1=CC=CC=N1,C/C(=C/C(C)=N/C1CCCCC1)[N-]C1CCCCC1,,9,0.0,661.0,0.04,0.35,CH3CN,10.1021/acscatal.9b02759,
392,CC(C)(C)C1=C[C-]=C(C2=CC=CC=N2)C=C1,CC(C)(C)C1=C[C-]=C(C2=CC=CC=N2)C=C1,C/C(=C/C(C)=N/C1=CC=CC=C1)[N-]C1=CC=CC=C1,,10,0.0,575.0,0.045,0.15,CH3CN,10.1021/acscatal.9b02759,
393,CC(C)(C)C1=C[C-]=C(C2=CC=CC=N2)C=C1,CC(C)(C)C1=C[C-]=C(C2=CC=CC=N2)C=C1,CN(C)C(/C=C(\[N-]C1=CC=CC=C1)N(C)C)=N\C1=CC=CC=C1,,11,0.0,594.0,0.12,0.51,CH3CN,10.1021/acscatal.9b02759,
394,[C-]1=CC=CC=C1N1C=CC=N1,[C-]1=CC=CC=C1N1C=CC=N1,CN(C)C(/C=C(\[N-]C1=CC=CC=C1)N(C)C)=N\C1=CC=CC=C1,,13,0.0,637.0,0.017,0.35,CH3CN,10.1021/acscatal.9b02759,
395,[C-]1=CC=CC=C1C1=NC2=C3C=CC=C4C=CC5=CC=CC(=C2N1C1=CC=CC=C1)C5=C43,[C-]1=CC=CC=C1C1=NC2=C3C=CC=C4C=CC5=CC=CC(=C2N1C1=CC=CC=C1)C5=C43,C1=CC=C(C2=NC=CN=C2C2=CC=CC=N2)N=C1,F[P-](F)(F)(F)(F)F,Ir1,1.0,651.0,0.036,0.185,CH2Cl2,10.1002/ejic.201900156,
396,[C-]1=CC=CC=C1C1=NC2=C3C=CC=C4C=CC5=CC=CC(=C2N1C1=CC=CC=C1)C5=C43,[C-]1=CC=CC=C1C1=NC2=C3C=CC=C4C=CC5=CC=CC(=C2N1C1=CC=CC=C1)C5=C43,C1=CC=C(C2=NC3=CC=CC=C3N=C2C2=CC=CC=N2)N=C1,F[P-](F)(F)(F)(F)F,Ir2,1.0,710.0,0.0046,0.07,CH2Cl2,10.1002/ejic.201900156,
397,[C-]1=CC=CC=C1C1=NC2=C3C=CC=C4C=CC5=CC=CC(=C2N1C1=CC=CC=C1)C5=C43,[C-]1=CC=CC=C1C1=NC2=C3C=CC=C4C=CC5=CC=CC(=C2N1C1=CC=CC=C1)C5=C43,C1=CC=C(C2=NC3=CC4=CC=CC=C4C=C3N=C2C2=CC=CC=N2)N=C1,F[P-](F)(F)(F)(F)F,Ir3,1.0,825.0,0.007,0.38,CH2Cl2,10.1002/ejic.201900156,
398,CC1=C[C-]=C(C2=NC3=CC4=CC=CC=C4C=C3N=C2C2=CC=C(C)C=C2)C=C1,CC1=C[C-]=C(C2=NC3=CC4=CC=CC=C4C=C3N=C2C2=CC=C(C)C=C2)C=C1,C1=CC=C2N=C(C3=CC=C4C=CC=CC4=N3)C=CC2=C1,F[P-](F)(F)(F)(F)F,NIR1,1.0,789.0,,0.177,CH3CN,10.1002/chem.201805902,
399,CC1=C[C-]=C(C2=NC3=CC4=CC=CC=C4C=C3N=C2C2=CC=C(C)C=C2)C=C1,CC1=C[C-]=C(C2=NC3=CC4=CC=CC=C4C=C3N=C2C2=CC=C(C)C=C2)C=C1,C1=CC=C2N=C(C3=NC=C4C=CC=CC4=N3)C=CC2=C1,F[P-](F)(F)(F)(F)F,NIR2,1.0,777.0,,0.156,CH3CN,10.1002/chem.201805902,
400,CC1=C[C-]=C(C2=NC3=CC4=CC=CC=C4C=C3N=C2C2=CC=C(C)C=C2)C=C1,CC1=C[C-]=C(C2=NC3=CC4=CC=CC=C4C=C3N=C2C2=CC=C(C)C=C2)C=C1,C1=CC=C2SC(C3=NC4=CC=CC=C4S3)=NC2=C1,F[P-](F)(F)(F)(F)F,NIR3,1.0,778.0,,0.208,CH3CN,10.1002/chem.201805902,
401,COC1=C[C-]=C(C2=NC3=CC4=CC=CC=C4C=C3N=C2C2=CC=C(OC)C=C2)C=C1,COC1=C[C-]=C(C2=NC3=CC4=CC=CC=C4C=C3N=C2C2=CC=C(OC)C=C2)C=C1,C1=CC=C2N=C(C3=CC=C4C=CC=CC4=N3)C=CC2=C1,F[P-](F)(F)(F)(F)F,NIR4,1.0,776.0,,0.203,CH3CN,10.1002/chem.201805902,
402,COC1=C[C-]=C(C2=NC3=CC4=CC=CC=C4C=C3N=C2C2=CC=C(OC)C=C2)C=C1,COC1=C[C-]=C(C2=NC3=CC4=CC=CC=C4C=C3N=C2C2=CC=C(OC)C=C2)C=C1,C1=CC=C2N=C(C3=NC=C4C=CC=CC4=N3)C=CC2=C1,F[P-](F)(F)(F)(F)F,NIR5,1.0,767.0,,0.203,CH3CN,10.1002/chem.201805902,
403,COC1=C[C-]=C(C2=NC3=CC4=CC=CC=C4C=C3N=C2C2=CC=C(OC)C=C2)C=C1,COC1=C[C-]=C(C2=NC3=CC4=CC=CC=C4C=C3N=C2C2=CC=C(OC)C=C2)C=C1,C1=CC=C2SC(C3=NC4=CC=CC=C4S3)=NC2=C1,F[P-](F)(F)(F)(F)F,NIR6,1.0,770.0,,0.277,CH3CN,10.1002/chem.201805902,
404,CCCCC1=C[C-]=C(C2=CC=CC=N2)C=C1,CCCCC1=C[C-]=C(C2=CC=CC=N2)C=C1,C1=CC=C2SC(C3=NC4=CC=CC=C4S3)=NC2=C1,F[P-](F)(F)(F)(F)F,RED,1.0,749.0,0.0267,0.024,CH3CN,10.1002/chem.201805902,
405,[C-]1=CC=CC=C1C1=CC=C2C=CC=CC2=N1,[C-]1=CC=CC=C1C1=CC=C2C=CC=CC2=N1,C1=CC=C(C2=CC=C3C=CC=CC3=N2)N=C1,F[P-](F)(F)(F)(F)F,1,1.0,613.0,0.075,0.52,CH2Cl2,10.1021/acs.inorgchem.8b02714,
406,[C-]1=CC=CC=C1C1=CC2=CC=CC=C2C=N1,[C-]1=CC=CC=C1C1=CC2=CC=CC=C2C=N1,C1=CC=C(C2=CC=C3C=CC=CC3=N2)N=C1,F[P-](F)(F)(F)(F)F,2,1.0,642.0,0.033,0.16,CH2Cl2,10.1021/acs.inorgchem.8b02714,
407,[C-]1=CC=CC=C1C1=NC=CC2=CC=CC=C12,[C-]1=CC=CC=C1C1=NC=CC2=CC=CC=C12,C1=CC=C(C2=CC=C3C=CC=CC3=N2)N=C1,F[P-](F)(F)(F)(F)F,3,1.0,618.0,0.11,0.31,CH2Cl2,10.1021/acs.inorgchem.8b02714,
408,[C-]1=CC=CC2=CC=C3C=CC=NC3=C12,[C-]1=CC=CC2=CC=C3C=CC=NC3=C12,C1=CC=C(C2=CC=C3C=CC=CC3=N2)N=C1,F[P-](F)(F)(F)(F)F,4,1.0,615.0,0.07,0.27,CH2Cl2,10.1021/acs.inorgchem.8b02714,
409,[C-]1=CC2=CC=CC=C2C=C1C1=CC=CC=N1,[C-]1=CC2=CC=CC=C2C=C1C1=CC=CC=N1,C1=CC=C(C2=CC=C3C=CC=CC3=N2)N=C1,F[P-](F)(F)(F)(F)F,5,1.0,650.0,0.02,0.07,CH2Cl2,10.1021/acs.inorgchem.8b02714,
410,[C-]1=CC=C2C=CC=CC2=C1C1=CC=CC=N1,[C-]1=CC=C2C=CC=CC2=C1C1=CC=CC=N1,C1=CC=C(C2=CC=C3C=CC=CC3=N2)N=C1,F[P-](F)(F)(F)(F)F,6,1.0,649.0,0.024,0.08,CH2Cl2,10.1021/acs.inorgchem.8b02714,
411,[C-]1=C(C2=CC=CC=N2)C2=CC=CC=C2C2=CC=CC=C12,[C-]1=C(C2=CC=CC=N2)C2=CC=CC=C2C2=CC=CC=C12,C1=CC=C(C2=CC=C3C=CC=CC3=N2)N=C1,F[P-](F)(F)(F)(F)F,7,1.0,663.0,0.002,0.06,CH2Cl2,10.1021/acs.inorgchem.8b02714,
412,[C-]1=CC=CC=C1C1=CC=C2C=C3C=CC=CC3=CC2=N1,[C-]1=CC=CC=C1C1=CC=C2C=C3C=CC=CC3=CC2=N1,C1=CC=C(C2=CC=C3C=CC=CC3=N2)N=C1,F[P-](F)(F)(F)(F)F,8,1.0,894.0,0.015,3.11,CH2Cl2,10.1021/acs.inorgchem.8b02714,
413,[C-]1=CC2=CC=CC=C2C=C1C1=CC=C2C=CC=CC2=N1,[C-]1=CC2=CC=CC=C2C=C1C1=CC=C2C=CC=CC2=N1,C1=CC=C(C2=CC=C3C=CC=CC3=N2)N=C1,F[P-](F)(F)(F)(F)F,9,1.0,649.0,0.019,0.13,CH2Cl2,10.1021/acs.inorgchem.8b02714,
414,[C-]1=CC2=CC=CC=C2C=C1C1=CC=C2C=C3C=CC=CC3=CC2=N1,[C-]1=CC2=CC=CC=C2C=C1C1=CC=C2C=C3C=CC=CC3=CC2=N1,C1=CC=C(C2=CC=C3C=CC=CC3=N2)N=C1,F[P-](F)(F)(F)(F)F,10,1.0,898.0,0.009,4.33,CH2Cl2,10.1021/acs.inorgchem.8b02714,
415,[C-]1=CC=C2C=CC=CC2=C1C1=NC2=CC=CC=C2N1C1=CC=CC=C1,[C-]1=CC=C2C=CC=CC2=C1C1=NC2=CC=CC=C2N1C1=CC=CC=C1,C1=CC=C2C(C3=NC4=CC=CC=C4[N-]3)=NC=CC2=C1,,1,0.0,597.0,0.41,0.87,CH2Cl2,10.1016/j.dyepig.2018.08.001,
416,[C-]1=CC=C2C=CC=CC2=C1C1=NC2=CC=CC=C2N1C1=CC=CC=C1,[C-]1=CC=C2C=CC=CC2=C1C1=NC2=CC=CC=C2N1C1=CC=CC=C1,CC1=CC2=C(C=C1C)[N-]C(C1=NC=CC3=CC=CC=C13)=N2,,2,0.0,603.0,0.46,1.33,CH2Cl2,10.1016/j.dyepig.2018.08.001,
417,[C-]1=CC=CC2=C1C(C1=NC3=CC=CC=C3N1C1=CC=CC=C1)=CC1=CC=CC=C12,[C-]1=CC=CC2=C1C(C1=NC3=CC=CC=C3N1C1=CC=CC=C1)=CC1=CC=CC=C12,CC(=O)/C=C(/C)[O-],,Ir(pnbi)2(acac),0.0,664.0,0.012,0.499,CH2Cl2,10.1039/C9DT03392K,
418,[C-]1=CC=CC2=C1C(C1=NC3=CC=CC=C3N1C1=CC=CC=C1)=CC1=CC=CC=C12,[C-]1=CC=CC2=C1C(C1=NC3=CC=CC=C3N1C1=CC=CC=C1)=CC1=CC=CC=C12,O=C(/C=C(\[O-])C1=CC=CC=C1)C1=CC=CC=C1,,Ir(pnbi)2(dppd),0.0,660.0,0.018,0.054,CH2Cl2,10.1039/C9DT03392K,
419,[C-]1=CC=CC2=C1C(C1=NC3=CC=CC=C3N1C1=CC=CC=C1)=CC1=CC=CC=C12,[C-]1=CC=CC2=C1C(C1=NC3=CC=CC=C3N1C1=CC=CC=C1)=CC1=CC=CC=C12,CC(C)(C)C(=O)/C=C(\[O-])C(C)(C)C,,Ir(pnbi)2(tmehd),0.0,661.0,0.015,0.458,CH2Cl2,10.1039/C9DT03392K,
420,[C-]1=CC=C2C=CC=CC2=C1C1=NC2=CC=CC=C2N1C1=CC=CC=C1,[C-]1=CC=C2C=CC=CC2=C1C1=NC2=CC=CC=C2N1C1=CC=CC=C1,CC(=O)/C=C(/C)[O-],,Ir(nbi)2(acac),0.0,605.0,0.117,0.304,CH2Cl2,10.1039/C9DT03392K,
421,CC1=CC(C2=[C-]C3=CC=CC=C3S2)=NC2=CC=CC=C12,CC1=CC(C2=[C-]C3=CC=CC=C3S2)=NC2=CC=CC=C12,O=C([O-])C1=CC=CC=N1,,Ir1pic,0.0,651.0,0.485,5.22,CH2Cl2,10.1039/C9TC00805E,
422,[C-]1=C(C2=CC=C3C=CC=CC3=N2)SC2=CC=CC=C12,[C-]1=C(C2=CC=C3C=CC=CC3=N2)SC2=CC=CC=C12,O=C([O-])C1=CC=CC=N1,,Ir2pic,0.0,660.0,0.372,4.25,CH2Cl2,10.1039/C9TC00805E,
423,CC1=CC(C)=C(C2=CC=NC(C3=[C-]C=CC=C3)=C2)C(C)=C1,CC1=CC(C)=C(C2=CC=NC(C3=[C-]C=CC=C3)=C2)C(C)=C1,C1=CC=C2NC(C3=NC4=CC=CC=C4N3)=NC2=C1,F[P-](F)(F)(F)(F)F,1,1.0,500.0,0.78,1.26,CH3CN,10.1039/C9DT00423H,
424,CC1=CC(C)=C(C2=CC=NC(C3=[C-]C=CC=C3)=C2)C(C)=C1,CC1=CC(C)=C(C2=CC=NC(C3=[C-]C=CC=C3)=C2)C(C)=C1,C1=CC=C2CN3C(=NC4=CC=CC=C43)C3=NC4=CC=CC=C4N3CC2=C1,F[P-](F)(F)(F)(F)F,2,1.0,560.0,0.89,1.83,CH3CN,10.1039/C9DT00423H,
425,CC1=CC(C)=C(C2=CC=NC(C3=[C-]C=CC4=CC=CC=C34)=C2)C(C)=C1,CC1=CC(C)=C(C2=CC=NC(C3=[C-]C=CC4=CC=CC=C34)=C2)C(C)=C1,C1=CC=C2NC(C3=NC4=CC=CC=C4N3)=NC2=C1,F[P-](F)(F)(F)(F)F,3,1.0,585.0,0.32,5.1,CH3CN,10.1039/C9DT00423H,
426,CC1=CC(C)=C(C2=CC=NC(C3=[C-]C=CC4=CC=CC=C34)=C2)C(C)=C1,CC1=CC(C)=C(C2=CC=NC(C3=[C-]C=CC4=CC=CC=C34)=C2)C(C)=C1,C1=CC=C2CN3C(=NC4=CC=CC=C43)C3=NC4=CC=CC=C4N3CC2=C1,F[P-](F)(F)(F)(F)F,4,1.0,586.0,0.44,7.65,CH3CN,10.1039/C9DT00423H,
427,CC1=CC(C)=C(C2=CC=NC(C3=[C-]C=CC4=CC=CC=C34)=C2)C(C)=C1,CC1=CC(C)=C(C2=CC=NC(C3=[C-]C=CC4=CC=CC=C34)=C2)C(C)=C1,CC(C)(C)C1=CC=NC(C2=CC(C(C)(C)C)=CC=N2)=C1,F[P-](F)(F)(F)(F)F,5,1.0,580.0,0.18,7.93,CH3CN,10.1039/C9DT00423H,
428,CC1=CC(C)=C(C2=CC=NC(C3=[C-]C=CC4=CC=CC=C34)=C2)C(C)=C1,CC1=CC(C)=C(C2=CC=NC(C3=[C-]C=CC4=CC=CC=C34)=C2)C(C)=C1,C1=CC=C2N=C(C3=CC=C4C=CC=CC4=N3)C=CC2=C1,F[P-](F)(F)(F)(F)F,6,1.0,670.0,0.001,,CH3CN,10.1039/C9DT00423H,
429,[C-]1=CC=CC=C1C1=NC=CC2=CC=CC=C12,[C-]1=CC=CC=C1C1=NC=CC2=CC=CC=C12,CC(=O)/C=C(/C)[O-],,Irpiq2acac,0.0,622.0,0.2,1.7,THF,10.1021/jacs.8b04841,
430,[C-]1=CC=CC=C1C1=NC=CC2=CC=CC=C12,[C-]1=CC=CC=C1C1=NC=CC2=CC=CC=C12,C/C([O-])=C/C(C)=N/C1=CC=CC=C1,,1,0.0,637.0,0.8,1.0,THF,10.1021/jacs.8b04841,
431,[C-]1=CC=CC=C1C1=NC=CC2=CC=CC=C12,[C-]1=CC=CC=C1C1=NC=CC2=CC=CC=C12,C/C(=C/C(C)=N/C1=CC=CC=C1)[N-]C1=CC=CC=C1,,2,0.0,678.0,0.17,0.82,THF,10.1021/jacs.8b04841,
432,[C-]1=CC=CC=C1C1=NC=CC2=CC=CC=C12,[C-]1=CC=CC=C1C1=NC=CC2=CC=CC=C12,CC(C)/N=C(/[N-]C(C)C)C1=CC=CC=C1,,3,0.0,671.0,0.34,0.74,THF,10.1021/jacs.8b04841,
433,[C-]1=C(C2=CC=CC=N2)SC2=CC=CC=C12,[C-]1=C(C2=CC=CC=N2)SC2=CC=CC=C12,CC(=O)/C=C(/C)[O-],,Irbtp2acac,0.0,612.0,0.51,5.8,THF,10.1021/jacs.8b04841,
434,[C-]1=C(C2=CC=CC=N2)SC2=CC=CC=C12,[C-]1=C(C2=CC=CC=N2)SC2=CC=CC=C12,C/C([O-])=C/C(C)=N/C1=CC=CC=C1,,4,0.0,614.0,0.33,5.8,THF,10.1021/jacs.8b04841,
435,[C-]1=C(C2=CC=CC=N2)SC2=CC=CC=C12,[C-]1=C(C2=CC=CC=N2)SC2=CC=CC=C12,C/C(=C/C(C)=N/C1=CC=CC=C1)[N-]C1=CC=CC=C1,,5,0.0,609.0,0.21,6.3,THF,10.1021/jacs.8b04841,
436,[C-]1=C(C2=CC=CC=N2)SC2=CC=CC=C12,[C-]1=C(C2=CC=CC=N2)SC2=CC=CC=C12,CC(C)/N=C(/[N-]C(C)C)C1=CC=CC=C1,,6,0.0,622.0,0.79,5.3,THF,10.1021/jacs.8b04841,
437,FC1=C[C-]=C(C2=CC=CC=N2)C(F)=C1,FC1=C[C-]=C(C2=CC=CC=N2)C(F)=C1,O=C1[N-]/C(=N\C2=CC=CC=N2)C2=CC=CC=C12,,Ir1,0.0,610.0,0.0005,1.69,CH2Cl2,10.1080/10610278.2017.1406601,
438,FC1=C[C-]=C(C2=CC=CC=N2)C(F)=C1,FC1=C[C-]=C(C2=CC=CC=N2)C(F)=C1,O=C1[N-]/C(=N\C2=NC=CC3=CC=CC=C23)C2=CC=CC=C12,,Ir2,0.0,652.0,0.0001,1.73,CH2Cl2,10.1080/10610278.2017.1406601,
439,[C-]1=CC=CC=C1C1=CC=CC=N1,[C-]1=CC=CC=C1C1=CC=CC=N1,CC(=O)/C=C(/C)[O-],,Ir2acac,0.0,520.0,0.62,1.6,CH2Cl2,10.1039/C8PP00052B,
440,[C-]1=CC=CC=C1C1=CC=CC=N1,[C-]1=CC=CC=C1C1=CC=CC=N1,O=C(/C=C(\[O-])C(F)(F)F)C1=CC=CS1,,Ir2tta,0.0,515.0,0.01,1.5,CH2Cl2,10.1039/C8PP00052B,
441,[C-]1=CC=CC=C1C1=CC=CC=N1,[C-]1=CC=CC=C1C1=CC=CC=N1,O=C(/C=C(\[O-])C1=CC=CS1)C1=CC=CS1,,Ir2dtdk,0.0,519.0,0.01,1.3,CH2Cl2,10.1039/C8PP00052B,
442,[C-]1=CC=CC=C1C1=CC=CC=N1,[C-]1=CC=CC=C1C1=CC=CC=N1,C1=CC=C(C2=CC=NC3=C2C=CC2=C(C4=CC=CC=C4)C=CN=C23)C=C1,F[P-](F)(F)(F)(F)F,Ir2BPhen,1.0,588.0,0.77,1.1,CH2Cl2,10.1039/C8PP00052B,
443,CC(C)(C)C1=CC=[C-]C(C2=CC=CC=N2)=C1,CC(C)(C)C1=CC=[C-]C(C2=CC=CC=N2)=C1,C1=CC=C(C2=NC3=CC=CC=C3S2)N=C1,F[P-](F)(F)(F)(F)F,1,1.0,660.0,0.02,0.055,CH2Cl2,10.1039/C8TC04727H,
444,[C-]1=CC=CC=C1C1=NC=CC2=CC=CC=C12,[C-]1=CC=CC=C1C1=NC=CC2=CC=CC=C12,C1=CC=C(C2=NC3=CC=CC=C3S2)N=C1,F[P-](F)(F)(F)(F)F,2,1.0,642.0,0.09,0.38,CH2Cl2,10.1039/C8TC04727H,
445,[C-]1=CC=CC=C1N1C=CC=N1,[C-]1=CC=CC=C1N1C=CC=N1,C1=CC=C(C2=NC3=CC=CC=C3S2)N=C1,F[P-](F)(F)(F)(F)F,3,1.0,607.0,0.16,0.459,CH2Cl2,10.1039/C8TC04727H,
446,[C-]1=CC=CC=C1C1=NC2=CC=CC=C2S1,[C-]1=CC=CC=C1C1=NC2=CC=CC=C2S1,C1=CC=C(C2=NC3=CC=CC=C3S2)N=C1,F[P-](F)(F)(F)(F)F,4,1.0,600.0,0.41,1.2,CH2Cl2,10.1039/C8TC04727H,
447,O=C1OC2=CC=CC=C2[C-]=C1C1=CC=CC=N1,O=C1OC2=CC=CC=C2[C-]=C1C1=CC=CC=N1,COC1=CC=C(C(=O)/C=C(\[O-])C2=CC(C(F)(F)F)=CC(C(F)(F)F)=C2)C=C1,,IrL2L1,0.0,527.0,0.0464,1.41,CH2Cl2,10.1039/C8QI00489G,
448,O=C1OC2=CC=CC=C2[C-]=C1C1=CC=CC=N1,O=C1OC2=CC=CC=C2[C-]=C1C1=CC=CC=N1,CC(C)(C)/C([O-])=C/C(=O)C1=CC=CO1,,IrL2L2,0.0,527.0,0.1,1.92,CH2Cl2,10.1039/C8QI00489G,
