Unnamed: 0,L1,L2,L3,Counterion,Abbreviation_in_the_article,Charge,Max_wavelength(nm),PLQY,tau(s*10^-6),Solvent,DOI,Notes
1511,[C-]1=CC=CC=C1C1=CC=CC=N1,[C-]1=CC=CC=C1C1=CC=CC=N1,CC(=O)/C=C(/C)[O-],,Ir(ppy)2(acac),0.0,525.0,,,CH3CN,10.1039/c9sc01391a,the atmosphere of measurements is not stated 
1512,FC1=C[C-]=C(C2=CC=CC=N2)C(F)=C1,FC1=C[C-]=C(C2=CC=CC=N2)C(F)=C1,CC(=O)/C=C(/C)[O-],,Ir(df-ppy)2(acac),0.0,491.0,,,CH3CN,10.1039/c9sc01391a,the atmosphere of measurements is not stated 
1513,[C-]1=CC=CC=C1C1=NC=CC2=CC=CC=C12,[C-]1=CC=CC=C1C1=NC=CC2=CC=CC=C12,CC1=CC=NC(C2=CC(C)=CC=N2)=C1,F[P-](F)(F)(F)(F)F,[Ir(piq)2(dm-bpy)]+,1.0,631.0,,,CH3CN,10.1039/c9sc01391a,the atmosphere of measurements is not stated 
1514,[C-]1=CC=CC=C1C1=NC2=CC=CC=C2S1,[C-]1=CC=CC=C1C1=NC2=CC=CC=C2S1,CC1=CC=NC(C2=CC(C)=CC=N2)=C1,F[P-](F)(F)(F)(F)F,[Ir(bt)2(dm-bpy)]+,1.0,566.0,,,CH3CN,10.1039/c9sc01391a,the atmosphere of measurements is not stated 
1515,FC1=C[C-]=C(C2=CC=CC=N2)C(F)=C1,FC1=C[C-]=C(C2=CC=CC=N2)C(F)=C1,CC1=CC=NC(C2=CC(C)=CC=N2)=C1,F[P-](F)(F)(F)(F)F,[Ir(df-ppy)2(dm-bpy)]+,1.0,524.0,,,CH3CN,10.1039/c9sc01391a,the atmosphere of measurements is not stated 
1516,[C-]1=CC=CC=C1C1=NC=CC2=CC=CC=C12,[C-]1=CC=CC=C1C1=NC=CC2=CC=CC=C12,C1=CC=C(CN2C=C(C3=CC=CC=N3)N=N2)C=C1,F[P-](F)(F)(F)(F)F,[Ir(piq)2(ptb)]+,1.0,633.0,,,CH3CN,10.1039/c9sc01391a,the atmosphere of measurements is not stated 
1517,[C-]1=CC=CC=C1C1=NC2=CC=CC=C2S1,[C-]1=CC=CC=C1C1=NC2=CC=CC=C2S1,C1=CC=C(CN2C=C(C3=CC=CC=N3)N=N2)C=C1,F[P-](F)(F)(F)(F)F,[Ir(bt)2(ptb)]+,1.0,565.0,,,CH3CN,10.1039/c9sc01391a,the atmosphere of measurements is not stated 
1518,[C-]1=CC=CC=C1C1=CC=CC=N1,[C-]1=CC=CC=C1C1=CC=CC=N1,C1=CC=C(CN2C=C(C3=CC=CC=N3)N=N2)C=C1,F[P-](F)(F)(F)(F)F,[Ir(ppy)2(ptb)]+,1.0,509.0,,,CH3CN,10.1039/c9sc01391a,the atmosphere of measurements is not stated 
1519,FC1=C[C-]=C(C2=CC=CC=N2)C(F)=C1,FC1=C[C-]=C(C2=CC=CC=N2)C(F)=C1,C1=CC=C(CN2C=C(C3=CC=CC=N3)N=N2)C=C1,F[P-](F)(F)(F)(F)F,[Ir(df-ppy)2(ptb)]+,1.0,482.0,,,CH3CN,10.1039/c9sc01391a,the atmosphere of measurements is not stated 
1520,O=S1(=O)C2=CC=CC=C2S(=O)(=O)C2=CC(C3=[C-]C=CC4=CC=CC=C34)=NC=C21,[C-]1=CC(OC2=CC=CC=C2)=CC=C1C1=CC=CC=N1,CC(=O)/C=C(/C)[O-],,SOIrOPh,0.0,652.0,0.48,0.23,THF,10.1021/acsami.9b06749,
1521,O=S1(=O)C2=CC=CC=C2S(=O)(=O)C2=CC(C3=[C-]C=CC4=CC=CC=C34)=NC=C21,CC1=CC(C)=C(B(C2=CC=[C-]C(C3=NC=CS3)=C2)C2=C(C)C=C(C)C=C2C)C(C)=C1,CC(=O)/C=C(/C)[O-],,SOIrB1,0.0,646.0,0.45,0.19,THF,10.1021/acsami.9b06749,
1522,O=S1(=O)C2=CC=CC=C2S(=O)(=O)C2=CC(C3=[C-]C=CC4=CC=CC=C34)=NC=C21,CC1=CC(C)=C(B(C2=CC=C(C3=[C-]C=CC=C3)N=C2)C2=C(C)C=C(C)C=C2C)C(C)=C1,CC(=O)/C=C(/C)[O-],,SOIrB2,0.0,660.0,0.5,0.22,THF,10.1021/acsami.9b06749,
1523,O=S1(=O)C2=CC=CC=C2S(=O)(=O)C2=CC(C3=[C-]C=CC4=CC=CC=C34)=NC=C21,O=S1(=O)C2=CC=CC=C2S(=O)(=O)C2=CC(C3=[C-]C=CC4=CC=CC=C34)=NC=C21,CC(=O)/C=C(/C)[O-],,SOIrSO,0.0,621.0,0.56,0.22,THF,10.1021/acsami.9b06749,
1524,CCCCCCCCN1N=C2C(C3=NC=CC4=CC=CC=C34)=[C-]C=C(C3=CC=C(N(C4=CC=CC=C4)C4=CC=CC=C4)C=C3)C2=N1,CCCCCCCCN1N=C2C(C3=NC=CC4=CC=CC=C34)=[C-]C=C(C3=CC=C(N(C4=CC=CC=C4)C4=CC=CC=C4)C=C3)C2=N1,O=C([O-])C1=CC=CC=N1,,(TPA-BTz-Iq)2Irpic,0.0,715.0,0.002,,CH2Cl2,10.1016/j.dyepig.2019.03.047,
